,MatchID,OpponentID,Outcome,OwnScore,OpponentScore,Side,CoachID,ground_truth,ground_truth_offense,ground_truth_defense,shotsAllowedVal,shotsTakenVal,flowEV,tempoEV,complete_triad_sum,triad_sum,diadic_sum,network_strength_eigen_value,algebraic_connectivity,nx_algebraic_connectivity,defensive_damage2,defensive_damage3,defensive_damage4,defensive_damage5
0,1,Opponent1,win,1,0,home,Coach1,973.299999999994,500.09999999999684,473.19999999999715,460.9808826512673,365.4120521604816,7927056.3184349565,51.929267837837656,42.0,170.0,964.0,85.95168649775258,83.2264206272573,14.563636119769324,0.30546349109672155,0.30546349109669757,6.397601779738336,6.397601779738343
1,2,Opponent2,tie,1,1,away,Coach1,578.8000000000004,302.9,275.90000000000043,842.2525575728855,379.2327302780295,3.5045916727211674e-14,50.76250600128216,10.0,86.0,629.0,34.22657698249734,36.137576191540944,9.720736264675667,-9.853695900421739,-9.85369590042178,5.883623565597235,5.883623565596612
2,3,Opponent3,loss,0,2,away,Coach1,775.0999999999971,401.6999999999984,373.3999999999987,888.2172455597548,311.1794526844168,3.2489111590324517e-09,56.05467318785142,27.0,143.0,806.0,63.692243872520386,61.38863924908963,20.06694268622388,-13.627701384875053,-13.627701384875191,2.855446477451891,2.8554464774518733
3,4,Opponent4,loss,0,3,home,Coach1,857.7999999999959,446.8999999999977,410.89999999999816,686.3331523977848,415.33971786355073,5.853438034733251e-08,58.84838011459946,40.0,201.0,1061.0,68.62079896653825,69.94935392419455,27.522818867320176,-12.359471806158295,-12.359471806158254,3.9280547877650114,3.9280547877649417
4,5,Opponent5,loss,0,4,away,Coach1,916.0999999999949,469.39999999999736,446.6999999999976,487.56776178723237,273.3223999583791,0.0035265496593641647,49.45509328176436,60.0,233.0,1157.0,74.58579621639116,70.819127731671,23.772104584275795,-7.288675734950121,-7.288675734950369,1.9866266932955603,1.9866266932956287
5,6,Opponent6,win,2,1,home,Coach1,857.8999999999959,447.39999999999776,410.4999999999981,349.44817997968306,740.4154260951775,1.172261029758512e-05,60.17390544642867,39.0,164.0,937.0,66.89943949069166,63.14551722071925,16.26298555050775,-8.06731476662472,-8.067314766624223,5.8422121888742655,5.842212188874346
6,7,Opponent7,loss,0,1,home,Coach1,1126.7999999999918,585.8999999999957,540.8999999999961,212.03920940509641,1006.0263021622445,264912181831.31244,52.47184269433751,54.0,216.0,1059.0,75.42892197023403,83.67961731905103,22.47773768905467,-8.188828013164846,-8.18882801316486,1.970670930361741,1.970670930361819
7,8,Opponent8,tie,1,1,away,Coach1,907.7999999999952,469.4999999999974,438.2999999999978,525.6899640810934,502.95529898820985,0.0009195854419584347,55.38336960639229,25.0,146.0,822.0,61.692562541794075,66.36810053937603,16.414496565441407,-11.184511391688167,-11.18451139168818,8.553422571293087,8.553422571293105
8,9,Opponent9,loss,2,5,home,Coach1,539.2000000000008,288.9000000000002,250.3000000000006,1217.5535080412733,311.4145511933043,3.726720317408546e-18,49.66038200000003,9.0,100.0,623.0,32.33187753838446,35.30219665681796,7.679729719092421,-26.767970947229134,-26.767970947229195,1.9801050867672811,1.9801050867674286
9,10,Opponent10,loss,0,2,away,Coach2,940.3999999999945,485.2999999999971,455.0999999999974,262.27246707857273,539.86666941886,34.18589879670764,49.04284003729585,51.0,176.0,995.0,74.2250588922714,68.97677926654508,16.09117995405394,-7.997662130226644,-7.997662130226595,5.662675255439138,5.6626752554391455
