,MatchID,OpponentID,Outcome,OwnScore,OpponentScore,Side,CoachID,ground_truth,ground_truth_offense,ground_truth_defense,shotsAllowedVal,shotsTakenVal,flowEV,tempoEV,complete_triad_sum,triad_sum,diadic_sum,network_strength_eigen_value,algebraic_connectivity,defensive_damage,defensive_damage2,defensive_damage3,defensive_damage4,defensive_damage5
0,1,Opponent1,win,1,0,home,Coach1,640.3999999999994,333.09999999999945,307.29999999999984,365.4120521604816,460.9808826512673,1.66564843931893e-12,61.26204498556728,27.0,134.0,353.0,40.3156878014926,40.24789834393513,26.163129886145374,31.48761587767492,37.26582228790066,8.760282466260211,2.9820760560345567
1,2,Opponent2,tie,1,1,away,Coach1,-25.0,0.0,-25.0,1221.485287850915,0.0,3.052262234655736e-68,0.0,0.0,0.0,0.0,0.0,0.0,33.210267759735345,7.656229621589274,5.392790058923978,7.656229621589151,5.392790058924035
2,3,Opponent3,loss,0,2,away,Coach1,-25.0,0.0,-25.0,1199.3966982441716,0.0,1.2261984892495336e-74,0.0,0.0,0.0,0.0,0.0,0.0,15.769321463664657,12.994524557660538,3.8754984281123734,12.994524557660505,3.875498428112429
3,4,Opponent4,loss,0,3,home,Coach1,-24.0,0.0,-24.0,1101.6728702613354,0.0,2.077257061305527e-72,0.0,0.0,0.0,0.0,0.0,0.0,28.38619843013884,13.16400305005746,4.9683191505692985,13.164003050057548,4.968319150569392
4,5,Opponent5,loss,0,4,away,Coach1,-18.0,0.0,-18.0,760.8901617456115,0.0,4.356323804007983e-73,0.0,0.0,0.0,0.0,0.0,0.0,13.814291833823162,11.520727807784446,2.9876617429070715,11.520727807784468,2.98766174290724
5,6,Opponent6,win,2,1,home,Coach1,-23.0,0.0,-23.0,1089.8636060748604,0.0,1.5627545220910484e-68,0.0,0.0,0.0,0.0,0.0,0.0,16.648790573774242,14.814185068189461,2.0093679124044406,14.814185068189454,2.009367912404136
6,7,Opponent7,loss,0,1,home,Coach1,-28.0,0.0,-28.0,1218.0655115673412,0.0,1.9759433756607948e-73,0.0,0.0,0.0,0.0,0.0,0.0,17.226683616886344,16.457386512037754,3.974154072263182,16.45738651203773,3.9741540722632545
7,8,Opponent8,tie,1,1,away,Coach1,-22.0,0.0,-22.0,1028.6452630693034,0.0,2.7881990281284208e-73,0.0,0.0,0.0,0.0,0.0,0.0,32.05257641614139,14.84194390944615,3.912082196981627,14.841943909446144,3.9120821969815123
8,9,Opponent9,loss,2,5,home,Coach1,-33.0,0.0,-33.0,1528.9680592345774,0.0,3.245719132326262e-72,0.0,0.0,0.0,0.0,0.0,0.0,13.83264359910763,8.391131839650932,2.635322041750123,8.391131839650829,2.6353220417502676
9,10,Opponent10,loss,0,2,away,Coach2,-20.0,0.0,-20.0,802.1391364974327,0.0,2.3177314205183498e-74,0.0,0.0,0.0,0.0,0.0,0.0,38.63188146384706,11.20765545995361,8.375945835981845,11.207655459953292,8.375945835983085
10,11,Opponent11,win,3,2,home,Coach2,-18.0,0.0,-18.0,760.6643571922566,0.0,1.7843900210749055e-73,0.0,0.0,0.0,0.0,0.0,0.0,31.614967471607887,10.742892366150052,8.317390890721299,10.742892366150059,8.317390890721324
11,12,Opponent12,tie,2,2,away,Coach2,-21.0,0.0,-21.0,929.0000355615073,0.0,2.231342558974276e-73,0.0,0.0,0.0,0.0,0.0,0.0,18.717345004192843,7.907006343473069,1.9664137082908164,7.907006343473272,1.9664137082907722
12,13,Opponent13,loss,1,4,away,Coach2,-20.0,0.0,-20.0,887.3573203382149,0.0,1.202683200035378e-80,0.0,0.0,0.0,0.0,0.0,0.0,18.915901814287242,13.342685081997207,2.031064164317189,13.342685081997248,2.03106416431718
13,14,Opponent14,win,4,0,home,Coach2,-11.0,0.0,-11.0,469.4631154008271,0.0,4.986068971245756e-78,0.0,0.0,0.0,0.0,0.0,0.0,19.935054105616217,13.081956017997213,4.878329445713509,13.081956017997204,4.878329445713495
14,15,Opponent15,win,2,0,home,Coach3,-10.0,0.0,-10.0,449.34932769809024,0.0,2.4456262581210335e-70,0.0,0.0,0.0,0.0,0.0,0.0,17.490240822560857,10.241482146704442,4.734072110661665,10.241482146704435,4.734072110661661
15,16,Opponent16,tie,1,1,away,Coach3,-25.0,0.0,-25.0,1127.9864126725406,0.0,4.4831445715147684e-77,0.0,0.0,0.0,0.0,0.0,0.0,15.732957929606593,5.613765818610619,1.8954414750059956,5.613765818610657,1.8954414750060202
16,17,Opponent17,win,1,0,away,Coach3,-20.0,0.0,-20.0,874.2516672414179,0.0,1.2570925380135487e-77,0.0,0.0,0.0,0.0,0.0,0.0,26.25297200910221,10.39848662105619,6.865982831046557,10.398486621056211,6.865982831046697
17,18,Opponent18,win,3,1,home,Coach3,-17.0,0.0,-17.0,727.0171188617919,0.0,6.463401328460863e-66,0.0,0.0,0.0,0.0,0.0,0.0,25.993987265227908,4.0424602391476006,5.08835261011645,4.042460239147566,5.088352610116605
18,19,Opponent3,tie,0,0,home,Coach3,-28.0,0.0,-28.0,1259.5989106585744,0.0,7.697612705119495e-81,0.0,0.0,0.0,0.0,0.0,0.0,16.86324428865119,13.047338202242829,5.842261020761835,13.04733820224294,5.842261020761834
19,20,Opponent19,tie,0,0,away,Coach3,-18.0,0.0,-18.0,744.961258720257,0.0,2.444222186258847e-68,0.0,0.0,0.0,0.0,0.0,0.0,36.88473629915457,9.723095449231725,5.802229955207592,9.72309544923175,5.8022299552075705
20,21,Opponent6,loss,1,2,away,Coach3,-24.0,0.0,-24.0,1148.5132613350668,0.0,2.993645269638982e-74,0.0,0.0,0.0,0.0,0.0,0.0,18.579255931731065,2.038761489485846,2.0009701687592307,2.0387614894858546,2.0009701687594212
21,22,Opponent5,loss,0,2,home,Coach3,-31.0,0.0,-31.0,1376.1534522275474,0.0,5.3928676959110795e-76,0.0,0.0,0.0,0.0,0.0,0.0,25.91255264272568,9.585997580206158,8.883899662360765,9.585997580206218,8.883899662360784
22,23,Opponent4,loss,0,4,away,Coach3,-25.0,0.0,-25.0,1054.2721585733425,0.0,1.4202456030370866e-79,0.0,0.0,0.0,0.0,0.0,0.0,47.20111429125803,17.241062745169064,7.671892829056462,17.24106274516908,7.671892829056452
23,24,Opponent19,tie,1,1,home,Coach3,-23.0,0.0,-23.0,1041.8775949789883,0.0,3.742053650893237e-74,0.0,0.0,0.0,0.0,0.0,0.0,26.37823992435797,9.167470592246831,4.84316735994627,9.167470592246827,4.843167359946255
24,25,Opponent10,win,2,1,home,Coach3,-17.0,0.0,-17.0,769.8982832705917,0.0,2.3921252610249544e-70,0.0,0.0,0.0,0.0,0.0,0.0,29.19594653754571,12.516698038650018,4.032061954564376,12.516698038650029,4.032061954564502
25,26,Opponent9,loss,1,5,away,Coach3,-25.0,0.0,-25.0,989.7449191741464,0.0,3.0281572737178852e-74,0.0,0.0,0.0,0.0,0.0,0.0,32.37563697045515,8.733089238524137,4.7753877851455275,8.733089238524371,4.775387785145607
26,27,Opponent12,win,3,1,home,Coach3,-21.0,0.0,-21.0,972.3516026734923,0.0,6.601539654508253e-68,0.0,0.0,0.0,0.0,0.0,0.0,37.155069387173384,3.8031065211099273,3.8543812653152765,3.8031065211098363,3.854381265315337
27,28,Opponent11,loss,0,1,away,Coach3,-16.0,0.0,-16.0,700.4841401299582,0.0,5.865134962156639e-75,0.0,0.0,0.0,0.0,0.0,0.0,48.849335255382144,14.913752043843111,7.317280352208654,14.91375204384308,7.317280352208722
28,29,Opponent7,loss,1,2,away,Coach3,-31.0,0.0,-31.0,1399.5395062792977,0.0,1.0675736148990467e-72,0.0,0.0,0.0,0.0,0.0,0.0,42.39333581651989,7.57421603477642,8.124215680277265,7.574216034776427,8.12421568027723
29,30,Opponent8,win,2,0,home,Coach3,-22.0,0.0,-22.0,942.0263104298824,0.0,6.601539654508253e-68,0.0,0.0,0.0,0.0,0.0,0.0,28.581433556756313,8.812890165974325,7.474350299079113,8.81289016597433,7.4743502990791395
30,31,Opponent1,win,2,1,away,Coach3,620.7999999999997,325.1999999999997,295.6,629.5737722245765,467.87421345426344,1.0550646374946949e-10,69.68453439024407,20.0,135.0,331.0,46.87158118383733,44.24892228997963,11.56750792482824,36.649220108042336,39.878980257762336,7.599702181937316,4.369942032217394
31,32,Opponent2,loss,1,3,home,Coach3,-23.0,0.0,-23.0,944.9306087642956,0.0,5.445404750778531e-73,0.0,0.0,0.0,0.0,0.0,0.0,15.12967211804968,5.769869366954887,3.914854858231812,5.769869366955312,3.9148548582318083
32,33,Opponent16,tie,0,0,home,Coach3,-16.0,0.0,-16.0,622.5439778043243,0.0,1.7677083418607453e-76,0.0,0.0,0.0,0.0,0.0,0.0,27.36335972653502,6.4811027805134485,3.949731831836688,6.481102780513615,3.9497318318367136
33,34,Opponent18,tie,1,1,away,Coach3,-25.0,0.0,-25.0,1157.5732062233,0.0,2.077266776228332e-72,0.0,0.0,0.0,0.0,0.0,0.0,11.984977636200215,13.992165093409149,2.9559723092978025,13.992165093409149,2.955972309297816
34,35,Opponent17,win,1,0,home,Coach3,-15.0,0.0,-15.0,658.2038981214553,0.0,1.6533834895085145e-78,0.0,0.0,0.0,0.0,0.0,0.0,27.992973002197466,10.93829742588946,7.830265245578918,10.938297425889447,7.830265245578758
35,36,Opponent15,win,2,0,away,Coach3,-15.0,0.0,-15.0,671.8855216796419,0.0,5.445404754163689e-73,0.0,0.0,0.0,0.0,0.0,0.0,24.471211015318765,12.98094461032931,5.691969437819427,12.980944610329303,5.6919694378195596
36,37,Opponent13,tie,1,1,home,Coach3,-14.0,0.0,-14.0,553.8619027864218,0.0,3.1889874312628955e-71,0.0,0.0,0.0,0.0,0.0,0.0,29.56903319053476,8.824282515456364,3.8662528055650416,8.824282515456463,3.866252805564936
37,38,Opponent14,loss,1,3,away,Coach3,-14.0,0.0,-14.0,629.2022082743014,0.0,1.45542856500492e-67,0.0,0.0,0.0,0.0,0.0,0.0,8.964767641445997,5.593896288328977,1.021904591880755,5.593896288328969,1.0219045918806735
